ticker,signal_days,success_rate
STLD,15,73.33333333333333
DNLI,138,73.18840579710145
GDS,179,73.18435754189943
RVMD,63,73.01587301587301
CRSP,137,72.99270072992701
ANIP,37,72.97297297297297
ASO,37,72.97297297297297
ENLT,59,72.88135593220339
XENE,59,72.88135593220339
CAMT,114,72.80701754385966
GPRE,143,72.72727272727273
PDFS,77,72.72727272727273
CACC,44,72.72727272727273
KLAC,33,72.72727272727273
DBX,22,72.72727272727273
CHDN,11,72.72727272727273
FFIN,11,72.72727272727273
TSLA,117,72.64957264957265
BWIN,84,72.61904761904762
SGML,215,72.55813953488372
CSIQ,171,72.51461988304094
MAT,29,72.41379310344827
ON,83,72.28915662650603
ACMR,155,72.25806451612902
RIVN,162,72.22222222222221
NVMI,90,72.22222222222221
TGTX,97,72.16494845360825
MMYT,86,72.09302325581395
CRUS,43,72.09302325581395
ALGT,111,72.07207207207207
RGEN,75,72.0
PODD,50,72.0
QCRH,25,72.0
AAON,64,71.875
GILT,64,71.875
POWI,32,71.875
FSLY,117,71.7948717948718
BHF,39,71.7948717948718
MRNA,138,71.73913043478261
MASI,46,71.73913043478261
CCB,53,71.69811320754717
TXG,162,71.60493827160494
KTOS,95,71.57894736842105
APLS,109,71.55963302752293
DIOD,77,71.42857142857143
FROG,77,71.42857142857143
EVCM,63,71.42857142857143
TTAN,63,71.42857142857143
GLDD,49,71.42857142857143
ARWR,129,71.31782945736434
LYFT,115,71.30434782608695
CORT,94,71.27659574468085
CRWD,66,71.21212121212122
LINC,59,71.1864406779661
UPST,187,71.12299465240642
PCTY,45,71.11111111111111
AMBA,93,70.96774193548387
MDB,93,70.96774193548387
MGNI,117,70.94017094017094
ENTG,72,70.83333333333334
HRMY,72,70.83333333333334
BELFA,48,70.83333333333334
MEDP,48,70.83333333333334
LAUR,24,70.83333333333334
MU,89,70.78651685393258
URBN,65,70.76923076923077
OSIS,41,70.73170731707317
MKSI,58,70.6896551724138
RARE,75,70.66666666666667
FBNC,17,70.58823529411765
TW,17,70.58823529411765
PLMR,44,70.45454545454545
SKYW,44,70.45454545454545
MTSI,71,70.4225352112676
MNDY,108,70.37037037037037
ADEA,27,70.37037037037037
NVCR,145,70.34482758620689
SONO,74,70.27027027027027
SUPN,37,70.27027027027027
FOLD,47,70.2127659574468
PEGA,47,70.2127659574468
CYTK,97,70.10309278350515
SOFI,130,70.0
INDV,80,70.0
ACIW,30,70.0
LBTYK,30,70.0
CFLT,93,69.89247311827957
LRCX,43,69.76744186046511
PLXS,33,69.6969696969697
VERX,69,69.56521739130434
MEOH,23,69.56521739130434
TPG,23,69.56521739130434
TRMB,23,69.56521739130434
VC,23,69.56521739130434
TER,59,69.49152542372882
VECO,75,69.33333333333334
IMKTA,13,69.23076923076923
MCHB,13,69.23076923076923
MGRC,13,69.23076923076923
MLKN,13,69.23076923076923
UFPT,94,69.14893617021278
CART,81,69.1358024691358
COCO,55,69.0909090909091
BBIO,87,68.96551724137932
MXL,138,68.84057971014492
AMD,93,68.81720430107528
ITRI,32,68.75
DUOL,131,68.70229007633588
Z,67,68.65671641791045
AVPT,51,68.62745098039215
LGND,51,68.62745098039215
MRVL,89,68.53932584269663
CEG,73,68.4931506849315
CMPR,73,68.4931506849315
LSCC,95,68.42105263157895
PLAB,76,68.42105263157895
ISRG,19,68.42105263157895
MCHP,19,68.42105263157895
CROX,60,68.33333333333333
GTLB,123,68.29268292682927
PENN,88,68.18181818181817
ROKU,88,68.18181818181817
ADUS,22,68.18181818181817
HSIC,22,68.18181818181817
HUBG,22,68.18181818181817
LBTYA,22,68.18181818181817
WYNN,22,68.18181818181817
ILMN,69,68.11594202898551
OS,69,68.11594202898551
TTWO,25,68.0
CENT,28,67.85714285714286
KSPI,28,67.85714285714286
CRNX,90,67.77777777777779
SLAB,68,67.64705882352942
SYNA,71,67.6056338028169
HLNE,37,67.56756756756756
TILE,37,67.56756756756756
WFRD,37,67.56756756756756
AMKR,46,67.3913043478261
DRVN,46,67.3913043478261
ENPH,141,67.37588652482269
OMCL,61,67.21311475409836
ZS,61,67.21311475409836
KRYS,73,67.12328767123287
AGIO,76,67.10526315789474
ALKT,85,67.05882352941175
ASTH,85,67.05882352941175
FSLR,94,67.02127659574468
GFS,69,66.66666666666666
ZG,66,66.66666666666666
SGRY,63,66.66666666666666
CHEF,39,66.66666666666666
EEFT,27,66.66666666666666
LLYVK,24,66.66666666666666
META,24,66.66666666666666
COKE,15,66.66666666666666
AAPL,12,66.66666666666666
BPOP,12,66.66666666666666
IPAR,12,66.66666666666666
CAR,113,66.3716814159292
SRPT,104,66.34615384615384
COHU,74,66.21621621621621
DAKT,62,66.12903225806451
AVGO,50,66.0
EXTR,50,66.0
LIF,88,65.9090909090909
FORM,82,65.85365853658537
IRTC,79,65.82278481012658
AXSM,61,65.57377049180327
ASML,29,65.51724137931035
EXLS,29,65.51724137931035
CGNX,26,65.38461538461539
CRAI,26,65.38461538461539
BLBD,72,65.27777777777779
INTC,83,65.06024096385542
CZR,80,65.0
ALGM,111,64.86486486486487
DOO,37,64.86486486486487
BRZE,105,64.76190476190476
TCBI,34,64.70588235294117
LFUS,17,64.70588235294117
SHOO,17,64.70588235294117
ODFL,31,64.51612903225806
USLM,45,64.44444444444444
STNE,73,64.38356164383562
ZD,70,64.28571428571429
LPLA,42,64.28571428571429
WAY,42,64.28571428571429
QDEL,103,64.07766990291263
MELI,50,64.0
AFYA,25,64.0
IDXX,25,64.0
BRKR,61,63.934426229508205
FA,55,63.63636363636363
TECH,44,63.63636363636363
LOPE,22,63.63636363636363
NSSC,22,63.63636363636363
FULT,11,63.63636363636363
MAR,11,63.63636363636363
RUSHA,11,63.63636363636363
SLM,11,63.63636363636363
ALGN,52,63.46153846153846
GSHD,52,63.46153846153846
CARG,41,63.41463414634146
HWKN,30,63.33333333333333
TBBK,65,63.07692307692307
SFM,46,63.04347826086957
VRNS,46,63.04347826086957
BMRN,27,62.96296296296296
CLBK,27,62.96296296296296
ULTA,27,62.96296296296296
ROCK,43,62.7906976744186
SKWD,43,62.7906976744186
AGYS,67,62.68656716417911
SHOP,91,62.637362637362635
ACHC,72,62.5
ARCB,56,62.5
PGNY,56,62.5
OPCH,24,62.5
ERIE,16,62.5
BNTX,61,62.295081967213115
DLTR,45,62.22222222222222
CDNS,37,62.16216216216216
WDAY,37,62.16216216216216
WSC,37,62.16216216216216
FLYW,66,62.121212121212125
APPN,95,62.10526315789474
BZ,58,62.06896551724138
WIX,79,62.0253164556962
CVLT,50,62.0
AAL,71,61.97183098591549
AMAT,42,61.904761904761905
NXPI,21,61.904761904761905
AXON,55,61.81818181818181
CNXC,34,61.76470588235294
NOVT,47,61.702127659574465
CLBT,60,61.66666666666667
TEAM,78,61.53846153846154
AMZN,26,61.53846153846154
UTHR,26,61.53846153846154
LMAT,13,61.53846153846154
SWKS,13,61.53846153846154
VRSK,13,61.53846153846154
AVAV,96,61.458333333333336
COLL,44,61.36363636363637
ECPG,44,61.36363636363637
IPGP,49,61.224489795918366
OKTA,49,61.224489795918366
EXPE,36,61.111111111111114
SNEX,36,61.111111111111114
BL,41,60.97560975609756
BIDU,64,60.9375
VIAV,46,60.86956521739131
DORM,23,60.86956521739131
SNPS,51,60.78431372549019
NTNX,66,60.60606060606061
NTCT,33,60.60606060606061
FIVN,91,60.43956043956044
HQY,48,60.416666666666664
DKNG,98,60.204081632653065
PANW,50,60.0
CENTA,30,60.0
CIGI,30,60.0
ZM,25,60.0
FIZZ,15,60.0
GOOG,15,60.0
GOOGL,15,60.0
RELY,52,59.61538461538461
RDWR,42,59.523809523809526
DASH,59,59.32203389830508
SAIC,22,59.09090909090909
DOCU,61,59.01639344262295
INTA,78,58.97435897435898
ACAD,51,58.82352941176471
ALKS,34,58.82352941176471
IAC,34,58.82352941176471
ESLT,17,58.82352941176471
FFIV,17,58.82352941176471
IONS,41,58.536585365853654
QRVO,41,58.536585365853654
PTC,24,58.333333333333336
NTAP,12,58.333333333333336
TRI,12,58.333333333333336
ALNY,43,58.139534883720934
CSGP,31,58.06451612903226
XPEL,69,57.971014492753625
HALO,38,57.89473684210527
GEHC,19,57.89473684210527
PLUS,19,57.89473684210527
MBIN,26,57.692307692307686
LNTH,61,57.377049180327866
NCNO,49,57.14285714285714
PRGS,28,57.14285714285714
PYPL,28,57.14285714285714
CDW,14,57.14285714285714
CVCO,44,56.81818181818182
DDOG,67,56.71641791044776
HURN,30,56.666666666666664
QLYS,30,56.666666666666664
HCSG,32,56.25
REGN,16,56.25
UPBD,16,56.25
TTD,77,55.84415584415584
ICLR,52,55.769230769230774
EXEL,27,55.55555555555556
VRRM,27,55.55555555555556
XRAY,18,55.55555555555556
AKAM,20,55.00000000000001
BSY,20,55.00000000000001
ADSK,33,54.54545454545454
MIDD,22,54.54545454545454
EBAY,11,54.54545454545454
HBAN,11,54.54545454545454
RUSHB,11,54.54545454545454
DSGX,24,54.166666666666664
ABNB,37,54.054054054054056
MANH,37,54.054054054054056
TENB,37,54.054054054054056
MTCH,13,53.84615384615385
QCOM,13,53.84615384615385
SPSC,45,53.333333333333336
ICFI,30,53.333333333333336
NFLX,30,53.333333333333336
BKNG,15,53.333333333333336
LULU,47,53.191489361702125
FWONA,17,52.94117647058824
CRVL,36,52.77777777777778
CWST,19,52.63157894736842
ZBRA,40,52.5
CG,25,52.0
INTU,27,51.85185185185185
NSIT,29,51.724137931034484
ADBE,31,51.61290322580645
DXCM,35,51.42857142857142
APPF,41,51.21951219512195
BLKB,30,50.0
JAZZ,26,50.0
NBIX,26,50.0
SMPL,26,50.0
FCNCA,22,50.0
RGLD,22,50.0
LOGI,20,50.0
ADI,12,50.0
JBHT,12,50.0
WTFC,12,50.0
CHTR,43,48.837209302325576
GMAB,31,48.38709677419355
IRDM,23,47.82608695652174
ALRM,21,47.61904761904761
FWONK,19,47.368421052631575
MORN,17,47.05882352941176
VRTX,17,47.05882352941176
COO,15,46.666666666666664
OLED,28,46.42857142857143
CHKP,13,46.15384615384615
NDAQ,11,45.45454545454545
NMIH,18,44.44444444444444
MMSI,16,43.75
LBRDA,37,43.24324324324324
LBTYB,54,42.592592592592595
FISV,19,42.10526315789473
BIIB,20,40.0
TTEK,15,40.0
LBRDK,36,38.88888888888889
SIGI,11,36.36363636363637
STRA,11,36.36363636363637
