date,Always On (0),Gate >= 35,Gate >= 50,Gate >= 60,Gate >= 70
2025-04-14,1147321.5347563275,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-15,1204670.0982111562,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-16,1144556.7751240577,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-17,1200495.237294739,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-21,1260138.011254844,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-22,1323131.182544067,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-23,1389223.7236733355,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-24,1458632.546181216,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-25,1531562.2872578728,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-28,1608008.8955966113,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-29,1687969.4769895654,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-04-30,1603611.7204705477,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-05-01,1683765.3728341975,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-05-02,1767069.1959607105,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-05-05,1767069.1959607105,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-05-06,1678715.7724207533,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-05-07,1762621.719462953,730481.4790034182,1083328.3237910848,733800.523689613,501604.5893398868
2025-05-08,1850752.557676971,766976.6850843513,1083328.3237910848,733800.523689613,501604.5893398868
2025-05-09,1758239.3087656584,728653.6893928996,1083328.3237910848,733800.523689613,501604.5893398868
2025-05-12,1846053.7977570058,764978.0671511589,1083328.3237910848,733800.523689613,501604.5893398868
2025-05-13,1938331.353793149,803225.3228009769,1137455.452672726,733800.523689613,501604.5893398868
2025-05-14,2035237.0827362048,843353.6863280573,1194232.8180887015,770300.258599883,501604.5893398868
2025-05-15,2136982.5214023287,885512.0972568446,1253937.60675042,808808.0808728256,526569.9053088895
2025-05-16,2030185.7800025924,841273.7632699183,1191294.7750361082,768368.8404534787,500313.9475418397
2025-05-19,2131691.992432487,883336.4903812242,1250851.3322017705,806780.9622164147,525318.9788660723
2025-05-20,2238262.013483503,927491.9177565034,1313392.9461648143,847109.9034365547,551580.4232669035
2025-05-21,2350174.878260845,973862.6657959374,1379054.8839570875,889451.66852295,579154.2434027556
2025-05-22,2467585.772929525,1022383.3474134037,1447945.0970083014,933852.6696257258,607992.0070055893
2025-05-23,2590951.895590872,1073488.6336805262,1520336.9725980829,980531.7430651544,638378.5404641319
2025-05-27,2720467.9060629923,1127154.587641896,1596350.1475099318,1029548.8225952202,670268.1878788668
2025-05-28,2584444.9358728626,1070819.4106073997,1516662.3543542982,978269.3665766403,636804.1297258969
2025-05-29,2713620.41223385,1124295.2798536147,1592361.96146907,1027115.2904335726,668519.2556424832
2025-05-30,2849111.3787349192,1180417.7635268518,1671730.4442969025,1078256.488573682,701727.8258633337
2025-06-02,2706658.9258718183,1121402.9715446648,1588149.9596212592,1024354.7884428075,666650.3018777937
2025-06-03,2841675.570556268,1176967.5137801883,1667082.7672829374,1075245.6775931,699885.1682616582
2025-06-04,2983686.856874291,1235800.7609690835,1750416.8627706566,1128929.0649484843,734841.7925860946
2025-06-05,3132802.9703788296,1297541.9983535875,1837791.7388906914,1185157.6918522292,771500.652283144
2025-06-06,2976331.3580723978,1232901.2667122418,1745960.8582256052,1126160.1986875092,733024.0263061526
2025-06-09,3125033.4662672253,1294483.494051022,1833226.6685303224,1182343.036425496,769652.3179223465
2025-06-10,2968802.1538185785,1229814.6685805789,1741607.8007103833,1123255.9142868523,731200.5838588398
2025-06-11,2821002.7468116637,1168740.5334537546,1654882.5288302926,1068289.1926727104,695777.5854852817
2025-06-12,2680908.3230715944,1111265.8980732132,1572262.7404707647,1015604.1102405477,661053.3266095379
2025-06-13,2546963.111712734,1055706.6303391522,1493661.4508469962,964997.8004827788,628105.3887672459
2025-06-16,2674306.581757088,1108451.9270287848,1568259.6242017178,1013179.4442142402,659436.6215762291
2025-06-17,2807862.395102547,1163769.8832660653,1646669.8113916325,1063672.1581629105,692351.6671878197
2025-06-18,2667483.3283043555,1105666.6992200525,1564393.9286394538,1010669.6353117767,657755.8782138578
2025-06-20,2800842.883307731,1160924.0258173514,1642561.2422358687,1061175.7430143727,690623.8993347483
2025-06-23,2940876.3780397912,1218964.3914010185,1724681.3743724097,1114224.8911638209,725143.3115133932
2025-06-24,3087859.9263472036,1279912.052988662,1810851.0649595498,1169887.2999902964,761337.2576373395
2025-06-25,2933634.490339176,1216094.6311922367,1720443.0507479473,1111641.240414194,723350.6970442294
