ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,pnl,return_pct,exit_reason,score_column,score_threshold
ALNY,2025-08-19,2025-08-20,100.0,23,9161.676265651833,3,30.538920885506112,33.59281297405673,916.1676265651859,10.000000000000028,tp_day1,score_w5,0.5
KLAC,2025-08-20,2025-08-21,100.0,12,10200.741476222172,2,51.003707381110864,56.10407811922195,1020.0741476222174,10.000000000000002,tp_day1,score_w5,0.5
ALNY,2025-08-21,2025-08-22,100.0,36,9333.22556082447,3,31.110751869414905,34.221827056356396,933.3225560824485,10.000000000000016,tp_day1,score_w5,0.5
AMZN,2025-08-22,2025-08-25,96.42857142857143,28,11915.626331347266,10,11.915626331347266,13.107188964481994,1191.5626331347266,10.0,tp_day1,score_w5,0.5
NVDA,2025-08-27,2025-08-28,100.0,12,12585.268272929721,22,5.720576487695327,5.148518838925795,-1258.5268272929716,-9.999999999999995,stop,score_w5,0.5
STX,2025-09-02,2025-09-03,100.0,13,11880.222372631482,17,6.988366101547931,7.687202711702724,1188.0222372631488,10.000000000000005,tp_day1,score_w5,0.5
MPWR,2025-09-03,2025-09-04,100.0,21,10745.299192788294,3,35.817663975960976,39.399430373557074,1074.529919278828,9.999999999999986,tp_day1,score_w5,0.5
MPWR,2025-09-08,2025-09-09,100.0,20,11626.581575902223,3,38.75527191967407,34.879744727706665,-1162.6581575902237,-10.000000000000012,stop,score_w5,0.5
WDC,2025-09-09,2025-09-10,100.0,25,12763.69802244674,34,3.754028830131394,4.129431713144534,1276.3698022446733,9.999999999999993,tp_day1,score_w5,0.5
MPWR,2025-09-10,2025-09-11,100.0,28,13125.464357289567,4,32.81366089322392,29.53229480390153,-1312.5464357289566,-10.0,stop,score_w5,0.5
WDC,2025-09-11,2025-09-12,100.0,24,12915.57290584439,34,3.798697913483644,4.178567704832009,1291.5572905844401,10.000000000000009,tp_day1,score_w5,0.5
STX,2025-09-12,2025-09-15,100.0,16,13196.191508542415,17,7.762465593260245,8.538712152586271,1319.6191508542452,10.000000000000027,tp_day1,score_w5,0.5
APP,2025-09-15,2025-09-16,97.05882352941177,34,12024.556416154737,3,40.08185472051579,44.09004019256738,1202.4556416154755,10.000000000000016,tp_day1,score_w5,0.5
MPWR,2025-09-24,2025-09-25,100.0,24,13214.329679663831,4,33.03582419915958,29.73224177924362,-1321.4329679663842,-10.000000000000009,stop,score_w5,0.5
INSM,2025-09-26,2025-09-29,100.0,23,14161.945388578286,24,5.900810578574286,6.490891636431715,1416.1945388578279,9.999999999999995,tp_day1,score_w5,0.5
BKR,2025-09-29,2025-09-30,100.0,13,14827.581282894507,97,1.5286166271025265,1.375754964392274,-1482.758128289448,-9.99999999999998,stop,score_w5,0.5
ROST,2025-10-06,2025-10-07,95.23809523809523,21,13886.937351794983,35,3.967696386227138,3.570926747604424,-1388.6937351794968,-9.99999999999999,stop,score_w5,0.5
INSM,2025-10-07,2025-10-08,100.0,30,13357.79993654879,20,6.678899968274395,6.011009971446956,-1335.7799936548781,-9.999999999999993,stop,score_w5,0.5
TSLA,2025-10-08,2025-10-09,100.0,19,12532.537541254656,4,31.33134385313664,28.198209467822977,-1253.253754125466,-10.000000000000004,stop,score_w5,0.5
MPWR,2025-10-09,2025-10-10,100.0,16,8798.153666280692,2,43.99076833140346,39.59169149826312,-879.8153666280687,-9.999999999999993,stop,score_w5,0.5
AMAT,2025-10-16,2025-10-20,93.33333333333333,15,11411.903216622697,8,14.264879020778372,16.404610873895127,1711.7854824934038,14.999999999999995,tp_day2,score_w5,0.5
MPWR,2025-10-21,2025-10-22,100.0,16,7187.827364427405,1,71.87827364427405,64.69044627984664,-718.7827364427412,-10.00000000000001,stop,score_w5,0.5
INTC,2025-10-23,2025-10-24,100.0,29,12239.743881405931,51,2.39994978066783,2.639944758734613,1223.9743881405975,10.000000000000036,tp_day1,score_w5,0.5
ROP,2025-10-24,2025-10-27,94.11764705882352,17,12082.310375883939,7,17.26044339411991,15.53439905470792,-1208.2310375883935,-9.999999999999996,stop,score_w5,0.5
ADBE,2025-10-30,2025-10-31,95.45454545454545,22,11827.919286717015,8,14.784899108396269,16.2633890192359,1182.7919286717042,10.000000000000023,tp_day1,score_w5,0.5
BKNG,2025-10-31,2025-11-03,96.55172413793103,29,12604.34644728012,15,8.40289763152008,7.562607868368072,-1260.4346447280113,-9.999999999999993,stop,score_w5,0.5
WBD,2025-11-03,2025-11-04,100.0,21,12211.679994291082,86,1.4199627900338467,1.5619590690372316,1221.1679994291098,10.000000000000012,tp_day1,score_w5,0.5
WBD,2025-11-04,2025-11-05,100.0,35,12709.190528251998,91,1.3966143437639558,1.5362757781403515,1270.919052825202,10.000000000000018,tp_day1,score_w5,0.5
WBD,2025-11-05,2025-11-06,100.0,35,13472.82105076707,103,1.3080408787152495,1.4388449665867746,1347.282105076707,10.0,tp_day1,score_w5,0.5
WBD,2025-11-07,2025-11-10,100.0,40,14143.00520210463,116,1.2192245863883302,1.3411470450271634,1414.300520210465,10.000000000000014,tp_day1,score_w5,0.5
WBD,2025-11-10,2025-11-11,100.0,37,14836.778589176134,123,1.2062421617216368,1.3268663778938006,1483.6778589176138,10.000000000000002,tp_day1,score_w5,0.5
WBD,2025-11-11,2025-11-12,100.0,38,15539.931175877393,128,1.2140571231154214,1.0926514108038792,-1553.993117587739,-10.0,stop,score_w5,0.5
WBD,2025-11-13,2025-11-14,100.0,29,14750.977955330633,118,1.2500828775703925,1.3750911653274318,1475.0977955330618,9.99999999999999,tp_day1,score_w5,0.5
MAR,2025-11-26,2025-12-01,95.83333333333334,24,14835.84696621394,13,11.412189974010724,13.124018470112333,2225.3770449320946,15.000000000000025,tp_day2,score_w5,0.5
CTSH,2025-12-02,2025-12-03,100.0,14,16539.310183500875,61,2.711362325164078,2.9824985576804863,1653.931018350093,10.000000000000032,tp_day1,score_w5,0.5
WBD,2025-12-03,2025-12-04,100.0,23,17400.749925500324,162,1.074120365771625,0.9667083291944625,-1740.0749925500331,-10.000000000000005,stop,score_w5,0.5
AAPL,2025-12-08,2025-12-09,100.0,16,16128.607882233462,25,6.451443152893384,7.096587468182723,1612.8607882233464,10.0,tp_day1,score_w5,0.5
GOOG,2025-12-09,2025-12-10,96.875,32,17128.253209674025,12,14.273544341395022,15.700898775534526,1712.8253209674076,10.00000000000003,tp_day1,score_w5,0.5
TXN,2025-12-11,2025-12-12,100.0,15,18296.964372007194,24,7.623735155002997,8.386108670503297,1829.696437200717,9.999999999999986,tp_day1,score_w5,0.5
GOOG,2025-12-12,2025-12-15,100.0,10,18974.291746878793,14,13.553065533484853,14.908372086833339,1897.4291746878807,10.000000000000007,tp_day1,score_w5,0.5
VRTX,2025-12-15,2025-12-16,96.96969696969697,33,19785.333376648156,10,19.785333376648158,21.763866714312975,1978.5333376648196,10.00000000000002,tp_day1,score_w5,0.5
AVGO,2025-12-16,2025-12-17,96.66666666666667,30,18166.05091687027,6,30.276751528117114,27.249076375305403,-1816.605091687028,-10.000000000000005,stop,score_w5,0.5
CSX,2025-12-17,2025-12-18,100.0,12,20168.88717720541,239,0.8438864927701009,0.928275142047111,2016.8887177205434,10.00000000000001,tp_day1,score_w5,0.5
CTSH,2025-12-18,2025-12-19,100.0,10,21026.6499580631,87,2.416856317018747,2.6585419487206217,2102.66499580631,10.0,tp_day1,score_w5,0.5
VRTX,2025-12-22,2025-12-23,96.29629629629629,27,20842.27908240079,11,18.947526438546173,20.842279082400793,2084.227908240082,10.000000000000014,tp_day1,score_w5,0.5
CEG,2025-12-24,2025-12-29,95.1219512195122,41,23214.845535056847,10,23.21484553505685,26.697072365315375,3482.226830258529,15.000000000000007,tp_day2,score_w5,0.5
REGN,2025-12-26,2025-12-30,95.83333333333334,24,22426.960617409626,7,32.038515167728036,28.834663650955232,-2242.696061740964,-10.000000000000005,stop,score_w5,0.5
ROST,2026-01-07,2026-01-08,100.0,12,23752.54456628689,59,4.025855011235066,4.4284405123585735,2375.2544566286924,10.000000000000014,tp_day1,score_w5,0.5
TXN,2026-01-08,2026-01-09,100.0,10,24347.257685360793,28,8.69544917334314,9.564994090677455,2434.725768536082,10.00000000000001,tp_day1,score_w5,0.5
KLAC,2026-01-12,2026-01-13,100.0,27,18015.6274911739,2,90.0781374558695,99.08595120145645,1801.562749117391,10.000000000000005,tp_day1,score_w5,0.5
WDC,2026-01-13,2026-01-14,96.55172413793103,29,26053.874023854536,11,23.685340021685942,26.053874023854537,2605.387402385455,10.000000000000005,tp_day1,score_w5,0.5
WDC,2026-01-14,2026-01-15,96.42857142857143,28,28269.486523296822,12,23.557905436080688,25.913695979688757,2826.9486523296873,10.000000000000018,tp_day1,score_w5,0.5
KLAC,2026-01-16,2026-01-20,100.0,31,28220.84004253603,3,94.06946680845343,84.66252012760809,-2822.0840042536,-9.99999999999999,stop,score_w5,0.5
TXN,2026-01-23,2026-01-26,100.0,10,28034.0743013663,30,9.344691433788768,10.279160577167644,2803.4074301366345,10.000000000000016,tp_day1,score_w5,0.5
KLAC,2026-01-26,2026-01-27,100.0,22,20560.481778281483,2,102.80240889140741,113.08264978054817,2056.04817782815,10.000000000000009,tp_day1,score_w5,0.5
ADI,2026-01-27,2026-01-28,94.44444444444444,18,30039.965338793347,27,11.12591308844198,12.238504397286178,3003.996533879337,10.000000000000009,tp_day1,score_w5,0.5
KLAC,2026-01-28,2026-01-29,100.0,29,21931.69449054445,2,109.65847245272225,120.62431969799448,2193.169449054447,10.000000000000009,tp_day1,score_w5,0.5
KLAC,2026-01-29,2026-01-30,100.0,24,22541.385857729936,2,112.70692928864968,101.43623635978471,-2254.1385857729947,-10.000000000000005,stop,score_w5,0.5
FANG,2026-01-30,2026-02-02,100.0,21,32300.48966602184,44,7.3410203786413275,6.606918340777195,-3230.048966602182,-9.999999999999995,stop,score_w5,0.5
WDC,2026-02-02,2026-02-03,100.0,18,30661.376464712943,9,34.06819607190327,37.4750156790936,3066.137646471303,10.000000000000028,tp_day1,score_w5,0.5
FANG,2026-02-03,2026-02-04,100.0,24,32384.585280929754,44,7.3601330183931255,8.096146320232439,3238.4585280929787,10.00000000000001,tp_day1,score_w5,0.5
KLAC,2026-02-05,2026-02-06,100.0,20,26763.977295539593,2,133.81988647769796,147.20187512546778,2676.3977295539626,10.000000000000012,tp_day1,score_w5,0.5
FANG,2026-02-10,2026-02-11,100.0,13,34995.41991459136,51,6.861847042076737,7.548031746284411,3499.541991459133,9.999999999999993,tp_day1,score_w5,0.5
STX,2026-02-11,2026-02-12,96.7741935483871,31,36743.41889129978,8,45.929273614124725,50.5222009755372,3674.3418891299807,10.000000000000007,tp_day1,score_w5,0.5
BKR,2026-02-12,2026-02-13,88.88888888888889,27,38937.10229317858,148,2.6308852900796333,2.36779676107167,-3893.7102293178614,-10.000000000000009,stop,score_w5,0.5
GILD,2026-02-17,2026-02-18,100.0,23,36368.251705825496,54,6.734861427004721,7.408347569705193,3636.8251705825533,10.00000000000001,tp_day1,score_w5,0.5
PCAR,2026-02-19,2026-02-20,100.0,13,38472.41978136954,102,3.7718058609185827,4.148986447010441,3847.2419781369535,9.999999999999998,tp_day1,score_w5,0.5
WDC,2026-02-20,2026-02-23,100.0,26,39215.62976165138,12,32.67969146804281,35.947660614847095,3921.562976165136,9.999999999999996,tp_day1,score_w5,0.5
MPWR,2026-02-23,2026-02-24,100.0,13,40006.135332399885,5,80.01227066479977,88.01349773127976,4000.6135332399936,10.000000000000012,tp_day1,score_w5,0.5
UPRO,2026-02-24,2026-02-25,100.0,23,44570.195792998165,79,5.641796935822552,6.205976629404808,4457.019579299813,9.999999999999993,tp_day1,score_w5,0.5
TXN,2026-02-25,2026-02-26,100.0,10,46034.649774753605,39,11.803756352500924,10.623380717250832,-4603.464977475363,-10.000000000000005,stop,score_w5,0.5
DXCM,2026-03-03,2026-03-04,92.85714285714286,14,44385.92954775426,125,3.550874363820341,3.1957869274383066,-4438.592954775428,-10.000000000000004,stop,score_w5,0.5
XEL,2026-03-04,2026-03-05,100.0,11,42321.489892179874,213,1.9869244080835622,1.788231967275206,-4232.148989217982,-9.999999999999986,stop,score_w5,0.5
