Date,Adj Close,market_norm,equity,strategy_equity_norm,return_20d,return_60d,drawdown_63d,realized_vol_20d,pct_above50,pct_above200,median_member_ret20,trend_score,breadth_score,pullback_score,vol_score,stress_penalty,reversal_score,regime_raw,regime_plot,strategy_forward_20d_return,market_forward_20d_return
2022-08-23,306.8611145019531,169.61534361224858,39261.8127425473,392.61812742547295,0.06702451246931651,0.05136066865669653,0.05692686024165772,0.2684644828513853,0.7959183673469388,0.30612244897959184,0.061633823454737335,10.0,0.0,25.0,15.0,0,51.8,selective,selective,2.8643327512418937,-9.56076069903955
2022-08-24,307.7501525878906,170.10675322169166,37303.43394748511,373.0343394748511,0.026726629560290593,0.02107890319514283,0.054194588541378486,0.22583940145336492,0.7857142857142857,0.3163265306122449,0.031128121138773057,10.0,0.0,25.0,15.0,0,51.2,selective,selective,2.8848794307274828,-10.931951338097212
2022-08-25,313.1918029785156,173.1145875715135,39166.13754265301,391.66137542653007,0.034763237466513885,0.04189776280695878,0.037470819784678366,0.2313955737070285,0.8571428571428571,0.3877551020408163,0.02717570329887775,10.0,10.0,18.0,15.0,0,51.2,selective,selective,-6.870720027385724,-13.90442388817178
2022-08-26,300.3546447753906,166.01893779144342,37251.419787354986,372.51419787354985,-0.025423017197553577,0.006637225164690452,0.07692312742504115,0.2682048784813735,0.6122448979591837,0.2857142857142857,-0.018351514206528585,10.0,0.0,25.0,15.0,0,50.6,selective,selective,-6.9133253778257515,-10.596207831704485
2022-08-29,297.39447021484375,164.38272192207754,37251.419787354986,372.51419787354985,-0.034446453711645786,-0.029851921590708708,0.08602060177130588,0.26995951608853236,0.5612244897959183,0.2857142857142857,-0.02086363111611833,10.0,0.0,25.0,15.0,10,48.6,caution,selective,-2.630084291485424,-9.670126963284432
2022-08-30,294.08258056640625,162.55209798773734,35389.87524659215,353.89875246592146,-0.042343977513538245,-0.015027314305549377,0.09619899851719016,0.272051547295828,0.47959183673469385,0.2653061224489796,-0.03721735204486104,10.0,0.0,25.0,15.0,10,46.6,caution,selective,7.586294728753251,-6.835740535617818
2022-08-31,292.3728942871094,161.60708080560678,33719.99443018222,337.1999443018222,-0.0731518761745863,-0.024004628311406928,0.101453359957007,0.24925574603714187,0.40816326530612246,0.25510204081632654,-0.05658648873559591,10.0,0.0,12.0,15.0,30,38.0,caution,selective,7.498239065317369,-8.992341193938714
2022-09-01,292.4998779296875,161.6772701295424,35356.77819573501,353.56778195735006,-0.07706532410922107,-0.03193092824936872,0.10106310242079719,0.2478217271451272,0.3979591836734694,0.25510204081632654,-0.07072237291302386,10.0,0.0,12.0,15.0,30,28.8,risk_off,risk_off,7.556802803159268,-10.574392183490334
2022-09-02,288.3674011230469,159.39307235927217,37123.9238773214,371.239238773214,-0.08261075303559451,-0.038690154940282495,0.11376340132749463,0.25008039844836183,0.2653061224489796,0.22448979591836735,-0.07805081971270184,10.0,0.0,12.0,15.0,30,20.2,risk_off,risk_off,7.510987422202953,-7.164832494692952
2022-09-06,286.2961730957031,158.24821549421313,38977.72135661027,389.7772135661027,-0.08624638763863823,-0.0193277468164893,0.12012888534156674,0.2502741939344781,0.2653061224489796,0.21428571428571427,-0.08949818698495005,10.0,0.0,12.0,15.0,30,13.6,risk_off,risk_off,-2.710085519878458,-3.5532827727514316
2022-09-07,292.0798645019531,161.4451106329488,40912.955985662906,409.12955985662904,-0.05711472093880343,0.037061320816050625,0.10235392541307176,0.26335319521007083,0.40816326530612246,0.2653061224489796,-0.04822724251221022,10.0,0.0,12.0,15.0,10,11.0,risk_off,risk_off,-11.906054485053176,-5.513363305520825
2022-09-08,293.59405517578125,162.28206898087328,42934.45300233228,429.34453002332276,-0.07796165531764276,0.09327042234794569,0.09770037862765535,0.23946940703741432,0.46938775510204084,0.2653061224489796,-0.06932531490918892,10.0,0.0,25.0,15.0,30,13.6,risk_off,risk_off,-11.900849230064603,-6.740716948928793
2022-09-09,300.0126647949219,165.82991073928704,45068.178559924236,450.68178559924235,-0.05242553650871373,0.11514715035463396,0.07797413101811168,0.2561905099671034,0.5918367346938775,0.3469387755102041,-0.04651510274033144,10.0,0.0,25.0,15.0,0,22.2,risk_off,risk_off,-20.259406137419955,-12.21349399820869
2022-09-12,303.5785827636719,167.80094705825596,42840.760387811504,428.407603878115,-0.059475355159828935,0.10091022950461892,0.06701503162108347,0.24884760504572168,0.6428571428571429,0.37755102040816324,-0.050763423687298914,10.0,10.0,25.0,15.0,10,30.8,risk_off,risk_off,-16.11345620056719,-14.11187733239455
2022-09-13,286.9312744140625,158.59926332416367,40709.547523673245,407.09547523673245,-0.11817703492434484,0.0842869017843717,0.11817703492434484,0.30562148701597286,0.2653061224489796,0.22448979591836735,-0.10456268472982028,10.0,0.0,12.0,15.0,30,30.8,risk_off,risk_off,-16.05788284025007,-10.377196143355938
2022-09-14,289.2075500488281,159.85745882597433,42697.288744313104,426.972887443131,-0.10909478399333361,0.07975934536872353,0.11118138018549661,0.3094449968720953,0.2857142857142857,0.24489795918367346,-0.0919548516436916,10.0,0.0,12.0,15.0,30,26.8,risk_off,risk_off,-23.937948935696916,-11.11302573782391
2022-09-15,284.39117431640625,157.19524068814889,42129.39168566534,421.29391685665337,-0.11382385264812134,0.03564816903718793,0.12598349869961045,0.3113113772777628,0.25510204081632654,0.19387755102040816,-0.09239793435311938,10.0,0.0,12.0,15.0,30,24.2,risk_off,risk_off,-26.752205062888336,-7.487748056912114
2022-09-16,282.6522521972656,156.23406359918573,38581.50408085123,385.81504080851226,-0.1213555787871946,0.030819123970315943,0.13132771034843682,0.309784518038175,0.21428571428571427,0.1836734693877551,-0.10298175863662046,10.0,0.0,12.0,15.0,30,15.6,risk_off,risk_off,-16.1992823147752,-9.716389066707231
2022-09-19,284.8533020019531,157.4506785474032,40503.72595974113,405.0372595974113,-0.09690577997066074,0.02360187703472727,0.1245632463874683,0.30946538413296854,0.24489795918367346,0.20408163265306123,-0.08663211640035068,10.0,0.0,12.0,15.0,30,7.0,risk_off,risk_off,-16.210394889990496,-7.455769844525539
2022-09-20,282.5827331542969,156.19563743241685,42473.56821675731,424.7356821675731,-0.07988016951077592,-0.018197288919496235,0.1315413625155808,0.2993007086989195,0.20408163265306123,0.19387755102040816,-0.0738837193629297,10.0,0.0,12.0,15.0,30,7.0,risk_off,risk_off,-20.096395331537497,-5.974434728836475
2022-09-21,277.5228576660156,153.39882650062785,40386.401703663345,403.8640170366334,-0.0956076069903955,-0.02865571020667479,0.1470918263508716,0.3030294397836521,0.14285714285714285,0.1836734693877551,-0.09018337364096984,10.0,0.0,12.0,15.0,30,7.0,risk_off,risk_off,-11.832600675521531,-4.609270267693544
